福島牝馬ステークス,2018年04月21日 ,芝右1800m, 晴,福島
花見山特別,2018年04月21日 ,ダ右1700m, 晴,福島
3歳未勝利,2018年04月22日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年04月22日 ,芝右1800m, 晴,福島
3歳未勝利,2018年04月22日 ,ダ右1700m, 晴,福島
障害4歳上未勝利,2018年04月22日 ,障芝2770m, 晴,福島
3歳未勝利,2018年04月22日 ,ダ右1700m, 晴,福島
3歳未勝利,2018年04月22日 ,芝右1200m, 晴,福島
4歳上500万下,2018年04月22日 ,ダ右1150m, 晴,福島
4歳上500万下,2018年04月22日 ,芝右1200m, 晴,福島
4歳上500万下,2018年04月22日 ,ダ右1700m, 晴,福島
燧ヶ岳特別,2018年04月22日 ,芝右2600m, 晴,福島
福島中央テレビ杯,2018年04月22日 ,芝右1200m, 晴,福島
桑折特別,2018年04月22日 ,芝右2000m, 晴,福島
2歳未勝利,2018年06月30日 ,芝右1800m, 晴,福島
3歳未勝利,2018年06月30日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年06月30日 ,芝右1200m, 晴,福島
3歳未勝利,2018年06月30日 ,ダ右1700m, 晴,福島
2歳新馬,2018年06月30日 ,芝右1200m, 晴,福島
2歳新馬,2018年06月30日 ,ダ右1150m, 晴,福島
3歳未勝利,2018年06月30日 ,芝右2000m, 晴,福島
3歳上500万下,2018年06月30日 ,芝右1800m, 晴,福島
郡山特別,2018年06月30日 ,芝右1200m, 晴,福島
猪苗代特別,2018年06月30日 ,ダ右1700m, 曇,福島
テレビユー福島賞,2018年06月30日 ,芝右1200m, 曇,福島
3歳上500万下,2018年06月30日 ,ダ右1700m, 曇,福島
3歳未勝利,2018年07月01日 ,ダ右1700m, 晴,福島
3歳未勝利,2018年07月01日 ,芝右1200m, 晴,福島
3歳未勝利,2018年07月01日 ,ダ右1700m, 晴,福島
障害3歳上未勝利,2018年07月01日 ,障芝2750m, 晴,福島
2歳新馬,2018年07月01日 ,芝右1800m, 晴,福島
2歳新馬,2018年07月01日 ,芝右1200m, 晴,福島
3歳未勝利,2018年07月01日 ,芝右1800m, 晴,福島
